iso_code,country,reason,hover
SHN,Saint Helena,No matching deaths-per-million record in dataset,<b>Saint Helena</b><br>ISO3: SHN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
LCA,Saint Lucia,No matching deaths-per-million record in dataset,<b>Saint Lucia</b><br>ISO3: LCA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
WSM,Samoa,No matching deaths-per-million record in dataset,<b>Samoa</b><br>ISO3: WSM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SMR,San Marino,No matching deaths-per-million record in dataset,<b>San Marino</b><br>ISO3: SMR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SAU,Saudi Arabia,No matching deaths-per-million record in dataset,<b>Saudi Arabia</b><br>ISO3: SAU<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SEN,Senegal,No matching deaths-per-million record in dataset,<b>Senegal</b><br>ISO3: SEN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SRB,Serbia,No matching deaths-per-million record in dataset,<b>Serbia</b><br>ISO3: SRB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KAS,Siachen Glacier,No matching deaths-per-million record in dataset,<b>Siachen Glacier</b><br>ISO3: KAS<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SLE,Sierra Leone,No matching deaths-per-million record in dataset,<b>Sierra Leone</b><br>ISO3: SLE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SGP,Singapore,No matching deaths-per-million record in dataset,<b>Singapore</b><br>ISO3: SGP<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SXM,Sint Maarten,No matching deaths-per-million record in dataset,<b>Sint Maarten</b><br>ISO3: SXM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SVN,Slovenia,No matching deaths-per-million record in dataset,<b>Slovenia</b><br>ISO3: SVN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SLB,Solomon Is.,No matching deaths-per-million record in dataset,<b>Solomon Is.</b><br>ISO3: SLB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SOM,Somalia,No matching deaths-per-million record in dataset,<b>Somalia</b><br>ISO3: SOM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SOL,Somaliland,No matching deaths-per-million record in dataset,<b>Somaliland</b><br>ISO3: SOL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
BLM,St-Barthélemy,No matching deaths-per-million record in dataset,<b>St-Barthélemy</b><br>ISO3: BLM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MAF,St-Martin,No matching deaths-per-million record in dataset,<b>St-Martin</b><br>ISO3: MAF<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KNA,St. Kitts and Nevis,No matching deaths-per-million record in dataset,<b>St. Kitts and Nevis</b><br>ISO3: KNA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SPM,St. Pierre and Miquelon,No matching deaths-per-million record in dataset,<b>St. Pierre and Miquelon</b><br>ISO3: SPM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VCT,St. Vin. and Gren.,No matching deaths-per-million record in dataset,<b>St. Vin. and Gren.</b><br>ISO3: VCT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SDN,Sudan,No matching deaths-per-million record in dataset,<b>Sudan</b><br>ISO3: SDN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SUR,Suriname,No matching deaths-per-million record in dataset,<b>Suriname</b><br>ISO3: SUR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CHE,Switzerland,No matching deaths-per-million record in dataset,<b>Switzerland</b><br>ISO3: CHE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
